广东,#genre#
广东卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广东珠江,http://14.19.211.0:6688/udp/239.77.0.1:5146
广东珠江,http://14.19.211.0:6688/udp/239.77.0.114:5146
广东珠江,http://59.38.63.253:2052/udp/239.77.0.1:5146
广东珠江,http://59.38.63.253:2052/udp/239.77.0.114:5146
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8
广东民生,http://14.19.211.0:6688/udp/239.77.0.225:5146
广东民生,http://14.19.211.0:6688/udp/239.77.0.5:5146
广东民生,http://59.38.63.253:2052/udp/239.77.0.225:5146
广东新闻,http://14.19.211.0:6688/udp/239.77.0.173:5146
大湾区卫视,http://14.19.211.0:6688/udp/239.77.0.215:5146
广东影视,http://14.19.211.0:6688/udp/239.77.0.217:5146
广东体育,http://14.19.211.0:6688/udp/239.77.0.112:5146
广东经济科教,http://14.19.211.0:6688/udp/239.77.0.85:5146
广东少儿,http://14.19.211.0:6688/udp/239.77.0.250:5146
嘉佳卡通,http://14.19.211.0:6688/udp/239.77.0.250:5146


港澳,#genre#
凤凰资讯,http://113.64.145.55:8081/hls/36/index.m3u8#http://113.64.145.105:8081/hls/36/index.m3u8#http://113.64.145.121:8081/hls/36/index.m3u8
凤凰卫视,http://113.64.145.55:8081/hls/37/index.m3u8
凤凰香港,http://113.64.145.55:8081/hls/38/index.m3u8

少儿,#genre#
黑莓动画,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
金鹰卡通,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000057BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTWDyIgRkFJBAHMhA2ayG0T0ZQXwaiVktPr6ILPKXqwOw2VoxnxHvBSRSzCCC3szSwIgrD0rUpRXeaqChwLXCf0
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
